TransID,EntryID,VisitorID,GuideID,AccID,VisitDate,ConservationFee,AccommFee,ActivityFee,TotalAmount,PaymentType,ModifiedDate
TRX-4744854,ENT-246316,VID-23434,N/A,ACC-044,2024-05-20,460.0,856.0,0.0,1316.0,WildCard_Credit,2024-05-20 11:00:00
TRX-2571945,ENT-329258,VID-40495,FG-065,ACC-039,2024-01-17,110.0,2818.0,750.0,3678.0,Credit Card,2024-01-17 08:00:00
TRX-5667265,ENT-948749,VID-10851,FG-098,ACC-011,2024-04-22,460.0,1214.0,750.0,2424.0,Cash,2024-04-22 15:00:00
TRX-6647119,ENT-207175,VID-22156,FG-049,ACC-007,2024-04-20,230.0,1538.0,350.0,2118.0,EFT,2024-04-20 20:00:00
TRX-8707870,ENT-662275,VID-26361,FG-049,ACC-006,2024-01-23,230.0,2872.0,550.0,3652.0,WildCard_Credit,2024-01-23 19:00:00
TRX-2166941,ENT-148050,VID-96673,FG-030,ACC-050,2024-10-22,230.0,2974.0,550.0,3754.0,EFT,2024-10-22 11:00:00
TRX-8606962,ENT-766563,VID-57819,N/A,ACC-011,2024-07-13,110.0,1353.0,0.0,1463.0,EFT,2024-07-13 12:00:00
TRX-2197935,ENT-738720,VID-93227,FG-022,ACC-035,2024-12-25,230.0,1258.0,550.0,2038.0,Debit Card,2024-12-25 18:00:00
TRX-4684531,ENT-817870,VID-52504,FG-099,ACC-050,2024-05-18,110.0,2293.0,750.0,3153.0,Credit Card,2024-05-18 18:00:00
TRX-2110460,ENT-321231,VID-84341,FG-092,ACC-021,2024-07-24,110.0,531.0,550.0,1191.0,Debit Card,2024-07-24 12:00:00
TRX-3396987,ENT-377746,VID-28301,FG-032,ACC-048,2024-11-25,460.0,2444.0,750.0,3654.0,WildCard_Credit,2024-11-25 15:00:00
TRX-7073292,ENT-329974,VID-28131,FG-066,ACC-032,2024-10-25,460.0,1476.0,750.0,2686.0,Credit Card,2024-10-25 14:00:00
TRX-8082668,ENT-725380,VID-18326,FG-050,ACC-025,2024-11-17,110.0,849.0,350.0,1309.0,WildCard_Credit,2024-11-17 10:00:00
TRX-2921859,ENT-814825,VID-80381,FG-097,ACC-018,2024-10-10,230.0,2567.0,550.0,3347.0,EFT,2024-10-10 08:00:00
TRX-1054447,ENT-857168,VID-44522,FG-065,ACC-049,2024-03-21,110.0,1602.0,750.0,2462.0,Debit Card,2024-03-21 15:00:00
TRX-4337174,ENT-260263,VID-59009,FG-098,ACC-011,2024-11-23,460.0,835.0,550.0,1845.0,WildCard_Credit,2024-11-23 16:00:00
TRX-2876828,ENT-480612,VID-50306,FG-031,ACC-004,2024-09-07,460.0,402.0,550.0,1412.0,Debit Card,2024-09-07 08:00:00
TRX-9937326,ENT-903035,VID-26483,N/A,ACC-009,2024-09-05,460.0,722.0,0.0,1182.0,Cash,2024-09-05 09:00:00
TRX-8099076,ENT-322086,VID-80686,FG-097,ACC-047,2024-09-27,460.0,1076.0,550.0,2086.0,Debit Card,2024-09-27 17:00:00
