EntryID,VisitorID,EntryDate,ExitDate,EntryGateID,AccID,VehicleReg,InsertedDate,ModifiedDate
ENT-246316,VID-23434,2024-11-23 07:00,2024-11-24 07:00,G18,ACC-006,PA 02 PA FS,2024-11-15 07:00:00,2024-11-16 07:00:00
ENT-571029,VID-87236,2024-01-14 14:00,2024-01-16 18:00,G09,ACC-001,TE 42 TE MP,2023-12-31 14:00:00,2024-01-01 14:00:00
ENT-988662,VID-55082,2024-06-21 07:00,2024-06-22 09:00,G20,ACC-017,US 59 US NW,2024-06-17 07:00:00,2024-06-19 07:00:00
ENT-838797,VID-19116,2024-02-10 14:00,2024-02-13 15:00,G02,ACC-043,FH 02 FH GP,2024-01-22 14:00:00,2024-01-23 14:00:00
ENT-472528,VID-37460,2024-07-13 10:00,2024-07-17 11:00,G09,ACC-045,YQ 61 YQ ZN,2024-07-07 10:00:00,2024-07-09 10:00:00
ENT-821590,VID-83000,2024-05-05 08:00,2024-05-09 10:00,G08,ACC-044,IT 08 IT L,2024-04-26 08:00:00,2024-05-01 08:00:00
ENT-852787,VID-51245,2024-07-24 10:00,2024-07-25 09:00,G07,ACC-042,MX 61 MX MP,2024-06-24 10:00:00,2024-06-28 10:00:00
ENT-712982,VID-66155,2024-05-06 17:00,2024-05-11 21:00,G19,ACC-026,JZ 14 JZ GP,2024-04-27 17:00:00,2024-05-02 17:00:00
ENT-542666,VID-88172,2024-02-26 08:00,2024-03-03 06:00,G03,ACC-025,JZ 59 JZ GP,2024-01-31 08:00:00,2024-02-05 08:00:00
ENT-905934,VID-94012,2024-12-14 17:00,2024-12-15 21:00,G11,ACC-008,HE 07 HE ZN,2024-11-19 17:00:00,2024-11-21 17:00:00
ENT-755674,VID-49117,2024-05-14 14:00,2024-05-21 12:00,G17,ACC-039,FJ 19 FJ FS,2024-04-27 14:00:00,2024-04-27 14:00:00
ENT-480612,VID-50306,2024-01-01 15:00,2024-01-04 18:00,G08,ACC-004,GO 07 GO GP,2023-12-31 15:00:00,2023-12-31 15:00:00
ENT-676510,VID-31643,2024-09-29 18:00,2024-10-01 16:00,G09,ACC-034,WL 25 WL ZN,2024-09-07 18:00:00,2024-09-10 18:00:00
ENT-781446,VID-58944,2024-12-19 09:00,2024-12-25 09:00,G15,ACC-034,LG 00 LG FS,2024-12-06 09:00:00,2024-12-11 09:00:00
ENT-761759,VID-17716,2024-04-27 15:00,2024-04-29 11:00,G08,ACC-005,XW 02 XW ZN,2024-04-24 15:00:00,2024-04-29 15:00:00
ENT-704201,VID-71953,2024-09-05 09:00,2024-09-10 07:00,G08,ACC-031,UE 04 UE NW,2024-08-12 09:00:00,2024-08-16 09:00:00
ENT-777568,VID-22899,2024-07-29 13:00,2024-08-05 09:00,G02,ACC-026,SU 11 SU FS,2024-07-07 13:00:00,2024-07-12 13:00:00
ENT-361941,VID-19880,2024-08-17 08:00,2024-08-21 06:00,G15,ACC-036,CQ 50 CQ GP,2024-08-08 08:00:00,2024-08-11 08:00:00
ENT-520521,VID-17685,2024-05-01 08:00,2024-05-05 11:00,G06,ACC-025,AK 97 AK L,2024-04-15 08:00:00,2024-04-16 08:00:00
ENT-610311,VID-30289,2024-08-04 17:00,2024-08-10 21:00,G07,ACC-019,FB 70 FB L,2024-07-13 17:00:00,2024-07-18 17:00:00
ENT-265080,VID-17455,2024-01-30 06:00,2024-02-04 09:00,G17,ACC-006,WB 08 WB NW,2024-01-13 06:00:00,2024-01-17 06:00:00
ENT-539589,VID-96163,2024-03-02 15:00,2024-03-04 11:00,G19,ACC-037,NY 27 NY MP,2024-02-11 15:00:00,2024-02-11 15:00:00
ENT-888387,VID-19508,2024-05-15 12:00,2024-05-17 12:00,G01,ACC-030,QO 05 QO FS,2024-04-30 12:00:00,2024-05-02 12:00:00
ENT-487477,VID-47353,2024-05-15 08:00,2024-05-18 05:00,G06,ACC-029,VS 69 VS ZN,2024-04-16 08:00:00,2024-04-17 08:00:00
